Company ID,Company Name,Ticket ID,Ticket Date,Ticket Description
COMP001,ABC Industries-COMP001,1,2022-04-07,Ticket for ABC Industries-COMP001 on 2022-04-07
COMP001,ABC Industries-COMP001,2,2022-11-24,Ticket for ABC Industries-COMP001 on 2022-11-24
COMP001,ABC Industries-COMP001,3,2022-10-13,Ticket for ABC Industries-COMP001 on 2022-10-13
COMP001,ABC Industries-COMP001,4,2022-04-22,Ticket for ABC Industries-COMP001 on 2022-04-22
COMP001,ABC Industries-COMP001,5,2022-08-13,Ticket for ABC Industries-COMP001 on 2022-08-13
COMP002,Apex Analytics-COMP002,6,2022-05-10,Ticket for Apex Analytics-COMP002 on 2022-05-10
COMP002,Apex Analytics-COMP002,7,2022-04-14,Ticket for Apex Analytics-COMP002 on 2022-04-14
COMP003,XYZ Tech Solutions-COMP003,8,2022-11-21,Ticket for XYZ Tech Solutions-COMP003 on 2022-11-21
COMP003,XYZ Tech Solutions-COMP003,9,2022-02-27,Ticket for XYZ Tech Solutions-COMP003 on 2022-02-27
COMP003,XYZ Tech Solutions-COMP003,10,2022-03-11,Ticket for XYZ Tech Solutions-COMP003 on 2022-03-11
COMP004,Red Rocket Media-COMP004,11,2022-01-29,Ticket for Red Rocket Media-COMP004 on 2022-01-29
COMP004,Red Rocket Media-COMP004,12,2022-03-09,Ticket for Red Rocket Media-COMP004 on 2022-03-09
COMP005,Green Energy Corp-COMP005,13,2022-05-29,Ticket for Green Energy Corp-COMP005 on 2022-05-29
COMP005,Green Energy Corp-COMP005,14,2022-10-08,Ticket for Green Energy Corp-COMP005 on 2022-10-08
COMP005,Green Energy Corp-COMP005,15,2022-12-04,Ticket for Green Energy Corp-COMP005 on 2022-12-04
COMP006,Innovative Innovations-COMP006,16,2022-06-11,Ticket for Innovative Innovations-COMP006 on 2022-06-11
COMP006,Innovative Innovations-COMP006,17,2022-06-01,Ticket for Innovative Innovations-COMP006 on 2022-06-01
COMP006,Innovative Innovations-COMP006,18,2022-08-17,Ticket for Innovative Innovations-COMP006 on 2022-08-17
COMP006,Innovative Innovations-COMP006,19,2022-06-18,Ticket for Innovative Innovations-COMP006 on 2022-06-18
COMP006,Innovative Innovations-COMP006,20,2022-10-31,Ticket for Innovative Innovations-COMP006 on 2022-10-31
COMP007,EcoGreen Solutions-COMP007,21,2022-09-21,Ticket for EcoGreen Solutions-COMP007 on 2022-09-21
COMP007,EcoGreen Solutions-COMP007,22,2022-12-26,Ticket for EcoGreen Solutions-COMP007 on 2022-12-26
COMP007,EcoGreen Solutions-COMP007,23,2022-12-29,Ticket for EcoGreen Solutions-COMP007 on 2022-12-29
COMP007,EcoGreen Solutions-COMP007,24,2022-09-27,Ticket for EcoGreen Solutions-COMP007 on 2022-09-27
COMP008,Blue Sky Ventures-COMP008,25,2022-04-08,Ticket for Blue Sky Ventures-COMP008 on 2022-04-08
COMP008,Blue Sky Ventures-COMP008,26,2022-11-12,Ticket for Blue Sky Ventures-COMP008 on 2022-11-12
COMP008,Blue Sky Ventures-COMP008,27,2022-05-08,Ticket for Blue Sky Ventures-COMP008 on 2022-05-08
COMP009,QuickServe Delivery-COMP009,28,2022-08-18,Ticket for QuickServe Delivery-COMP009 on 2022-08-18
COMP009,QuickServe Delivery-COMP009,29,2022-01-31,Ticket for QuickServe Delivery-COMP009 on 2022-01-31
COMP009,QuickServe Delivery-COMP009,30,2022-05-01,Ticket for QuickServe Delivery-COMP009 on 2022-05-01
COMP009,QuickServe Delivery-COMP009,31,2022-11-29,Ticket for QuickServe Delivery-COMP009 on 2022-11-29
COMP010,Solaris Systems-COMP010,32,2022-12-17,Ticket for Solaris Systems-COMP010 on 2022-12-17
COMP010,Solaris Systems-COMP010,33,2022-10-24,Ticket for Solaris Systems-COMP010 on 2022-10-24
COMP010,Solaris Systems-COMP010,34,2022-06-15,Ticket for Solaris Systems-COMP010 on 2022-06-15
COMP010,Solaris Systems-COMP010,35,2022-12-25,Ticket for Solaris Systems-COMP010 on 2022-12-25
COMP010,Solaris Systems-COMP010,36,2022-10-03,Ticket for Solaris Systems-COMP010 on 2022-10-03
COMP011,ABC Industries-COMP011,37,2022-10-08,Ticket for ABC Industries-COMP011 on 2022-10-08
COMP011,ABC Industries-COMP011,38,2022-12-18,Ticket for ABC Industries-COMP011 on 2022-12-18
COMP012,Apex Analytics-COMP012,39,2022-04-29,Ticket for Apex Analytics-COMP012 on 2022-04-29
